instrument,strategy,entry_date,exit_date,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,hold_bars
NIFTY,Strategy2_VPIN,2026-05-25 10:35:00,2026-05-25 11:05:00,Long,210.97095788188562,201.64353841060074,Time Stop,-758.1241126795281,-4.791333178689439,6
NIFTY,Strategy2_VPIN,2026-05-25 11:05:00,2026-05-25 11:35:00,Long,210.81220186550308,212.01617068667656,Time Stop,31.270384823162587,0.1977771972491605,6
NIFTY,Strategy2_VPIN,2026-05-25 11:35:00,2026-05-25 12:05:00,Long,210.83237528194877,201.91177120822613,Time Stop,-727.6187921212561,-4.601562678396063,6
NIFTY,Strategy2_VPIN,2026-05-25 12:05:00,2026-05-25 12:35:00,Long,210.68063610606987,210.83743624153612,Time Stop,-47.208303095673095,-0.29876691703111224,6
NIFTY,Strategy2_VPIN,2026-05-25 12:35:00,2026-05-25 13:05:00,Long,210.68326742125828,212.09705458537792,Time Stop,47.008922818674364,0.29750138454473257,6
NIFTY,Strategy2_VPIN,2026-05-25 13:05:00,2026-05-25 13:35:00,Short,187.68223684324403,183.88814617989192,Time Stop,-341.2774669874492,-2.4245055382091807,6
NIFTY,Strategy2_VPIN,2026-05-25 13:35:00,2026-05-25 14:05:00,Short,187.74473769221004,194.26310323498365,Time Stop,431.6870628662969,3.0657730148048676,6
NIFTY,Strategy2_VPIN,2026-05-25 14:05:00,2026-05-25 14:35:00,Short,187.63926750957944,169.7135373238234,Time Stop,-1400.510640149206,-9.951794978647573,6
NIFTY,Strategy2_VPIN,2026-05-25 14:35:00,2026-05-25 15:05:00,Long,210.99902524389654,226.32382660623261,Time Stop,1089.6805738419498,6.885849022808668,6
NIFTY,Strategy2_VPIN,2026-05-25 15:05:00,2026-05-26 09:20:00,Short,188.14552438621467,194.0297341158057,Time Stop,384.11784308673566,2.7221329116727744,6
NIFTY,Strategy2_VPIN,2026-05-26 09:20:00,2026-05-26 09:50:00,Long,211.12006574257612,223.8361398270481,Time Stop,894.1325270847657,5.646913279353266,6
NIFTY,Strategy2_VPIN,2026-05-26 09:50:00,2026-05-26 10:20:00,Short,188.2369318778292,174.99765983757607,Time Stop,-1049.2909596461777,-7.432412964367662,6
NIFTY,Strategy2_VPIN,2026-05-26 10:20:00,2026-05-26 10:50:00,Long,211.57879169046828,218.22594203029257,Time Stop,439.1950624693877,2.7677321150531533,6
NIFTY,Strategy2_VPIN,2026-05-26 10:50:00,2026-05-26 11:20:00,Long,211.6893069283924,193.8874369061832,Time Stop,-1393.391205138245,-8.776328701443472,6
NIFTY,Strategy2_VPIN,2026-05-26 11:20:00,2026-05-26 11:50:00,Short,188.28380751455552,183.126809291658,Time Stop,-443.48834447359417,-3.1405663632850973,6
