date,f,atm_strike,atm_iv,ivp_252
2020-03-19,8205.9,8200.0,1.0132184693182715,99.0079365079365
2020-03-20,8723.1,8700.0,0.8308228217823144,98.4126984126984
2020-03-23,7581.55,7600.0,1.344423824586418,100.0
2020-03-24,7849.9,7850.0,1.3623723895217281,100.0
2020-03-25,8362.2,8350.0,1.1045113874883614,98.80952380952381
2020-03-26,8641.45,8650.0,1.1045113874883614,98.61111111111111
2020-03-27,8651.4,8650.0,0.918515178575458,96.82539682539682
2020-03-30,8290.15,8300.0,0.9772167395858471,96.82539682539682
2020-03-31,8620.95,8600.0,0.7360332376820721,94.84126984126983
2020-04-01,8257.3,8250.0,0.7360332376820721,94.64285714285714
2020-04-03,8084.5,8100.0,0.482830980440618,93.25396825396825
2020-04-07,8875.85,8900.0,0.5896452024552095,93.65079365079364
2020-04-08,8750.55,8750.0,0.6436165366417036,93.65079365079364
2020-04-09,9086.7,9100.0,0.6436165366417036,93.45238095238095
2020-04-13,9011.1,9000.0,0.5666524450309323,92.06349206349206
2020-04-15,8930.3,8950.0,0.5732029921813866,92.06349206349206
2020-04-16,9035.45,9050.0,0.5732029921813866,91.86507936507937
2020-04-17,9311.3,9300.0,0.3812282842134216,88.09523809523809
2020-04-20,9260.5,9250.0,0.45911553904670754,90.07936507936508
2020-04-21,8971.6,8950.0,0.49407831769039046,90.87301587301587
2020-04-22,9188.3,9200.0,0.43627667416735527,89.28571428571429
2020-04-23,9296.75,9300.0,0.43627667416735527,89.0873015873016
2020-04-24,9138.25,9150.0,0.33392860410892766,86.11111111111111
2020-04-27,9295.15,9300.0,0.37047820644440776,86.11111111111111
2020-04-28,9397.75,9400.0,0.3104855970577176,84.92063492063492
2020-04-29,9549.15,9550.0,0.2894024020017674,83.33333333333334
2020-04-30,9859.9,9850.0,0.2894024020017674,83.13492063492063
2020-05-04,9285.9,9300.0,0.5198310214954089,90.87301587301587
2020-05-05,9208.6,9200.0,0.5065601013253768,90.47619047619048
2020-05-06,9280.7,9300.0,0.4404359732149696,88.4920634920635
2020-05-07,9204.25,9200.0,0.4404359732149696,88.29365079365078
2020-05-08,9236.65,9250.0,0.32818185425640317,83.73015873015873
2020-05-11,9225.15,9250.0,0.36934044798688964,84.12698412698413
2020-05-12,9212.35,9200.0,0.43567076587346065,86.90476190476191
2020-05-13,9393.55,9400.0,0.5715260556005678,91.26984126984127
2020-05-14,9143.9,9150.0,0.5715260556005678,91.07142857142857
2020-05-15,9137.1,9150.0,0.36770990082122695,82.53968253968253
2020-05-18,8825.85,8850.0,0.45854049194520763,87.6984126984127
2020-05-19,8884.1,8900.0,0.41293127572015564,85.31746031746032
2020-05-20,9066.65,9050.0,0.3147776998678822,80.55555555555556
2020-05-21,9075.1,9100.0,0.3147776998678822,80.35714285714286
2020-05-22,9027.8,9050.0,0.25180519722379047,76.5873015873016
2020-05-26,9034.0,9050.0,0.30514889744911405,78.57142857142857
2020-05-27,9309.4,9300.0,0.2725316906048151,76.5873015873016
2020-05-28,9490.1,9500.0,0.2725316906048151,76.38888888888889
2020-05-29,9494.1,9500.0,0.2705533529267029,75.79365079365078
2020-06-01,9791.0,9800.0,0.3225770644714827,80.95238095238095
2020-06-02,9962.95,9950.0,0.29599321226453024,78.57142857142857
2020-06-03,10071.8,10050.0,0.2840588544233221,76.98412698412699
2020-06-04,10017.65,10000.0,0.2840588544233221,77.18253968253968
2020-06-05,10145.5,10150.0,0.25404057598234697,75.39682539682539
2020-06-08,10165.35,10150.0,0.3023253153386425,79.76190476190477
2020-06-09,10034.0,10050.0,0.2977651034283778,79.36507936507937
2020-06-10,10118.7,10100.0,0.3084334335223443,80.15873015873017
2020-06-11,9894.55,9900.0,0.3084334335223443,79.96031746031747
2020-06-12,9955.35,9950.0,0.30021948670756937,78.57142857142857
2020-06-15,9813.75,9800.0,0.3577154405233045,83.33333333333334
2020-06-16,9897.85,9900.0,0.3613687417604864,83.33333333333334
2020-06-17,9854.55,9850.0,0.33205413996240635,82.14285714285714
2020-06-18,10071.9,10050.0,0.33205413996240635,81.94444444444444
2020-06-19,10235.55,10250.0,0.2646159209550558,71.82539682539682
2020-06-22,10288.2,10300.0,0.2941328840358718,75.79365079365078
2020-06-23,10467.7,10450.0,0.261676272877503,71.03174603174604
2020-06-24,10295.65,10300.0,0.2750044526429095,73.01587301587301
2020-06-25,10288.9,10300.0,0.2750044526429095,72.81746031746032
2020-06-26,10318.0,10300.0,0.2568001543315211,69.84126984126983
2020-06-29,10255.8,10250.0,0.3099606494849251,78.57142857142857
2020-06-30,10240.25,10250.0,0.34553574832833034,82.53968253968253
2020-07-01,10408.3,10400.0,0.2832794575149608,72.22222222222221
2020-07-02,10539.7,10550.0,0.2832794575149608,72.02380952380952
2020-07-03,10572.45,10550.0,0.21349390417000466,65.47619047619048
2020-07-06,10754.85,10750.0,0.2408291754007642,66.66666666666666
2020-07-07,10766.65,10750.0,0.2529220501827412,67.46031746031747
2020-07-08,10696.3,10700.0,0.24111928729416238,66.66666666666666
2020-07-09,10823.55,10800.0,0.24111928729416238,66.46825396825396
2020-07-10,10766.65,10750.0,0.19802107146938097,62.698412698412696
2020-07-13,10807.55,10800.0,0.22564822069797488,64.68253968253968
2020-07-14,10613.85,10600.0,0.2587256636364326,68.25396825396825
2020-07-15,10628.25,10650.0,0.22027724963704487,63.49206349206349
2020-07-16,10713.85,10700.0,0.22027724963704487,63.29365079365079
2020-07-17,10905.05,10900.0,0.18917760343810178,58.333333333333336
2020-07-20,11008.6,11000.0,0.2392340178679854,64.68253968253968
2020-07-21,11170.55,11150.0,0.22361199561385542,63.49206349206349
2020-07-22,11110.55,11100.0,0.22040510715369976,62.698412698412696
2020-07-23,11207.55,11200.0,0.22040510715369976,62.5
2020-07-24,11170.25,11150.0,0.19212775458023829,57.936507936507944
2020-07-27,11122.45,11100.0,0.23421935790605686,64.28571428571429
2020-07-28,11306.15,11300.0,0.20403669995099608,59.12698412698413
2020-07-29,11222.45,11200.0,0.2214257543042028,62.698412698412696
2020-07-30,11102.15,11100.0,0.2214257543042028,62.5
2020-07-31,11095.85,11100.0,0.1941477820523934,56.34920634920635
2020-08-03,10913.4,10900.0,0.2393724303753887,64.68253968253968
2020-08-04,11102.05,11100.0,0.20764139104235674,58.333333333333336
2020-08-05,11118.0,11100.0,0.21516959736010083,59.12698412698413
2020-08-06,11199.5,11200.0,0.21516959736010083,58.92857142857143
2020-08-07,11226.2,11250.0,0.17096334335465435,41.66666666666667
2020-08-10,11293.35,11300.0,0.19506541316159487,55.55555555555556
2020-08-11,11344.35,11350.0,0.18422080762547838,50.39682539682539
2020-08-12,11317.8,11300.0,0.1969851254856902,55.952380952380956
2020-08-13,11317.35,11300.0,0.1969851254856902,55.75396825396825
2020-08-14,11186.7,11200.0,0.17670847334052592,42.46031746031746
2020-08-17,11268.2,11250.0,0.19401885999966212,53.57142857142857
2020-08-18,11398.55,11400.0,0.18661366995392606,50.0
2020-08-19,11420.8,11400.0,0.18306485634631847,49.60317460317461
2020-08-20,11305.4,11300.0,0.18306485634631847,49.801587301587304
2020-08-21,11377.2,11400.0,0.14743978561295248,28.968253968253972
2020-08-24,11474.15,11450.0,0.17421600463859688,40.87301587301587
2020-08-25,11471.65,11450.0,0.16891639019661475,39.682539682539684
2020-08-26,11548.2,11550.0,0.16959903250206942,39.682539682539684
2020-08-27,11559.25,11550.0,0.16959903250206942,39.88095238095239
2020-08-28,11675.25,11700.0,0.14102853225400647,23.41269841269841
2020-08-31,11401.95,11400.0,0.26963466346164144,69.44444444444444
2020-09-01,11510.95,11500.0,0.21159306000432165,57.936507936507944
2020-09-02,11561.5,11550.0,0.19053310134660167,52.38095238095239
2020-09-03,11542.8,11550.0,0.19053310134660167,52.182539682539684
2020-09-04,11351.75,11350.0,0.19604656309099838,54.761904761904766
2020-09-07,11365.9,11350.0,0.2102955817780726,57.53968253968254
2020-09-08,11319.85,11300.0,0.23211211439066132,63.095238095238095
2020-09-09,11306.9,11300.0,0.19010677895023437,50.39682539682539
2020-09-10,11455.35,11450.0,0.19010677895023437,50.595238095238095
2020-09-11,11467.1,11450.0,0.16621321469270528,38.095238095238095
2020-09-14,11451.95,11450.0,0.1980913255198987,55.952380952380956
2020-09-15,11527.4,11550.0,0.1839268486964758,47.61904761904761
